x_coord,y_coord
79.0891679,27.5966105
79.0620938,27.625207
78.9990079,27.6863463
79.0667123,27.6235041
79.0627681,27.6268314
79.0673132,27.6270029
79.0944882,27.6733206
78.5837138,27.773199
78.6022929,27.7753971
78.6253768,27.7811711
78.6412286,27.8026417
78.6425434,27.8107035
78.6429405,27.8112564
78.6357311,27.8118501
78.6499861,27.8126707
78.6484287,27.8131584
78.6116937,27.8152067
78.5859597,27.8218874
78.7365487,27.8788719
78.7419575,27.8851129
78.8458234,27.9119334
78.8685604,27.6326945
78.9022544,27.6776939
78.9969789,27.6884051
78.7384252,27.7071629
78.7382045,27.7072218
78.7415945,27.7111955
78.7425331,27.716975
78.9453498,27.7312718
78.9395705,27.7345677
78.6238712,27.7457192
78.6216965,27.7583416
78.6208557,27.7631349
78.618428,27.7771947
78.6182951,27.7780565
78.6186706,27.7786522
78.83338,27.7924934
78.8353726,27.7938707
78.8312363,27.7962527
78.7790593,27.7965909
78.8301535,27.7966866
78.7773961,27.7970513
78.7767179,27.7972255
78.774706,27.7976952
78.6606932,27.8006144
78.7050686,27.8008468
78.6596427,27.8056366
78.6537671,27.8165799
78.7518516,27.8849323
78.7482213,27.8868836
78.6428063,27.8218452
79.0683772,27.8247313
78.63901,27.8371325
78.6192077,27.8499641
78.6451289,27.8019105
78.6412709,27.8026871
78.6466596,27.8045631
78.643257,27.8048205
78.6433406,27.8049344
78.6470283,27.8050055
78.6463317,27.8054852
78.6420183,27.8057042
78.6440533,27.8059054
78.6448335,27.8062649
78.6445007,27.8064696
78.6488511,27.8067029
78.6402321,27.8067441
78.6485386,27.8069099
78.6484088,27.8069958
78.646634,27.8081711
78.6462646,27.8084786
78.6473853,27.8090631
78.6445361,27.8095773
78.6436913,27.8096405
78.6598031,27.8098668
78.6440247,27.8099302
78.6434836,27.8103036
78.6503544,27.8104898
78.6479196,27.8105443
78.6413612,27.8108248
78.6458355,27.8111572
78.647351,27.8112159
78.6473555,27.8114899
78.648952,27.8115208
78.6504137,27.8115211
78.6428876,27.8115539
78.6496121,27.8120625
78.6581286,27.8125307
78.6450199,27.8125579
78.6463635,27.812956
78.6464442,27.8129686
78.6480256,27.8132249
78.648073,27.8132212
78.6481816,27.8134081
78.6468056,27.8143936
78.6439353,27.8152427
78.6438674,27.8154532
78.7005454,27.8217241
78.9267003,27.5843595
78.9512394,27.5801665
78.9564711,27.5734458
78.8705935,27.6344651
78.9237372,27.5657435
78.930304,27.5611467
78.9629578,27.6128188
78.907041,27.649896
78.9389485,27.7339135
78.9384765,27.7290513
78.8682973,27.6324971
78.8113718,27.7066527
78.8574236,27.7135273
78.8538551,27.7143297
78.8762526,27.6393584
78.5222308,27.7602131
78.6105244,27.7712362
78.5788756,27.7729186
78.5743539,27.7849807
78.57923,27.7932287
78.5600221,27.7903737
78.5913452,27.7688027
78.5911581,27.7689315
78.6158062,27.8031471
78.6131577,27.7910084
78.6518049,27.8033907
78.652619,27.8039814
78.615823,27.8278125
78.6194923,27.8504867
78.6175464,27.8517187
78.6125622,27.8712041
78.6159023,27.889526
78.6304887,27.8638491
78.5983372,27.9064793
78.6581719,27.8738251
78.659187,27.8861786
78.6605319,27.8893706
78.6083989,27.995987
78.612404,27.9457917
78.7367277,27.6563601
78.7850891,27.6466709
78.7387183,27.7076476
78.7378566,27.7446302
78.7392595,27.7138069
78.7385292,27.711374
78.7409038,27.7113353
78.7367804,27.7115441
78.7291018,27.7159952
78.7337742,27.7104742
78.7219112,27.7490694
78.7048277,27.7433736
78.7054229,27.7425155
78.7846578,27.7093978
78.7806254,27.6850895
78.8048542,27.704497
78.8162365,27.7032538
78.8222258,27.7230855
78.8159475,27.7308613
78.8120707,27.7369612
78.7966958,27.7360135
78.7892677,27.7264917
78.7911173,27.7260636
78.8069011,27.7179169
78.789803,27.7269804
78.7962106,27.7562982
78.7733423,27.7430319
78.608114,27.7531257
78.5335659,27.8407886
78.5463052,27.8586674
78.5477643,27.8637882
78.5483115,27.8648553
78.5661187,27.8732906
78.5877896,27.8737814
78.5878593,27.8738383
78.5880256,27.8758311
78.589234,27.8766183
78.5900869,27.8764381
78.5825305,27.8218621
78.6455426,27.7967173
78.5818438,27.8219772
78.5814535,27.821402
78.5808662,27.8211173
78.5778836,27.8218764
78.74425,27.88709
78.6222319,27.8834605
78.6350378,27.8129194
78.6342564,27.8076296
78.6378987,27.7994262
78.6421811,27.8019605
78.6395254,27.8010724
78.6431616,27.8011778
78.6399275,27.7978088
78.6504402,27.8055385
78.6501241,27.8057732
78.6492455,27.8047368
78.6455762,27.7999774
78.6416221,27.7968367
78.6412272,27.8144489
78.6382867,27.8112659
78.5828418,27.823582
78.6242257,27.882195
78.8297394,27.7686067
78.83203,27.7769913
78.8415382,27.7721911
78.8206913,27.7817208
78.81639,27.784839
78.8132035,27.7964187
78.8628808,27.7922685
78.8310306,27.7963351
78.8318,27.7973408
78.8306084,27.7979512
78.8354046,27.7939025
78.8289813,27.7964242
78.8338593,27.7864739
78.8292784,27.7889557
78.89358,27.8412629
78.834967,27.7979559
78.8350984,27.7976783
78.8339826,27.7882157
78.5902852,27.8772503
78.591869,27.8782199
78.6529195,27.8489667
78.6507153,27.8381084
78.6513805,27.8428234
78.65244,27.8443294
78.6521664,27.8453908
78.5294265,27.7574154
79.0352207,27.7155435
78.9960861,27.7688523
78.9970133,27.688389
79.1202788,27.7586034
79.093536,27.6791436
78.7468668,27.8867375
78.7403413,27.8894979
78.7394643,27.8900336
78.7403306,27.8912782
78.740167,27.8916314
78.7292424,27.9085564
78.7249026,27.9208265
78.7345666,27.9359318
78.7390043,27.933536
78.7412915,27.932091
78.7459821,27.929665
78.7476289,27.9291496
78.748396,27.9285074
78.7487286,27.9270896
78.7491564,27.926775
78.7501716,27.9271873
78.7647508,27.923687
78.7662971,27.9231988
78.8143386,27.9045517
78.6193013,27.7813839
78.6180995,27.778599
78.921131,27.8411852
78.9199499,27.8408235
78.924742,27.8455812
78.9046649,27.8532635
78.9077622,27.8502525
78.9075945,27.8491094
78.915491,27.8394153
78.8263632,27.9079337
78.8527447,27.892518
78.8536962,27.8922412
78.9051899,27.8541922
78.9001974,27.8584118
78.8998541,27.858077
78.8982941,27.8616886
78.9001571,27.858438
78.8994755,27.8583534
78.9002332,27.8577961
78.8999315,27.8580238
78.8991908,27.857267
78.9000736,27.863192
78.9021641,27.863212
78.8997995,27.8611577
78.9010325,27.8624688
78.9006717,27.8629679
78.9006865,27.8631161
78.9003839,27.8640394
78.9006101,27.863952
78.9024366,27.8636331
78.9008672,27.857933
78.8978211,27.8597558
78.9001071,27.8567705
78.9022623,27.8594975
78.8983481,27.8620162
78.8848382,27.8656203
78.885237,27.8657743
78.8988143,27.8639769
78.897115,27.8583955
78.8926741,27.8406146
78.9021456,27.8642069
78.8931515,27.8603748
78.9063654,27.8566623
78.9068598,27.8563649
78.9065404,27.8571309
78.9065169,27.8559691
78.906173,27.8560508
78.9053172,27.8527334
78.9064521,27.8534682
78.9081162,27.8523501
78.907032,27.8556717
78.9076884,27.8575127
78.907907,27.8565405
78.9070353,27.8564812
78.9072847,27.8564207
78.9074765,27.8562749
78.9065109,27.8557994
78.8735823,27.8741509
78.9007871,27.8588016
78.9002642,27.8592662
78.9029652,27.851168
78.8995108,27.8472518
78.8989639,27.8476972
78.8994834,27.8480183
78.8992456,27.8467794
78.8981441,27.8477184
78.8978648,27.84746
78.8989814,27.8483938
78.8998548,27.8476755
78.8985743,27.8487264
